Feature Area,Feature,Status,Notes
Architecture,Monorepo Setup (pnpm),Done,"pnpm workspaces are configured for all apps and packages."
Architecture,TypeScript Base Config,Done,"A shared tsconfig.base.json is in place and extended by all projects."
Architecture,Backend Service Scaffolding,Done,"Dedicated Node.js/Express services for `auth` and `backend` are created."
Architecture,Frontend App Scaffolding,Done,"Next.js applications for `home`, `web`, and `admin` are created."
Shared Packages,@amberops/lib (Types & Utils),Done,"All shared TypeScript types and utility functions are centralized."
Shared Packages,@amberops/design-tokens (Styling),Done,"A shared Tailwind CSS config and global CSS with light/dark themes are implemented."
Shared Packages,@amberops/ui (Component Library),Done,"A comprehensive library of Radix/ShadCN components is built and available."
Shared Packages,@amberops/api (API & AI Layer),Done,"A central API client and Genkit AI flow definitions are in place."
Authentication,Local User Registration,Done,"Users can sign up with an email and password via the `auth` service."
Authentication,Local User Login,Done,"Users can log in, and a JWT is issued and stored correctly."
Authentication,Social Login (OAuth),Done,"Passport.js is configured for Google and GitHub logins."
Authentication,Protected Routes (Frontend),Done,"Layouts in `web` and `admin` apps guard against unauthenticated access."
Authentication,Protected Routes (Backend),Done,"A JWT middleware protects all REST API endpoints under `/app`."
Authentication,Admin Role-Based Access,Done,"The system correctly distinguishes between Admin and other roles, redirecting to the appropriate dashboard."
Backend API,REST API for All Resources,Done,"Full CRUD endpoints are implemented for clusters, services, hosts, alerts, etc."
Backend API,Public Content API,Done,"Endpoints under `/public` serve data for the landing page and are manageable by admins."
Backend API,API Documentation (Swagger),Done,"Interactive API documentation is generated and served at `/api-docs`."
Backend API,Centralized Error Handling,Done,"A dedicated middleware ensures consistent error responses."
Backend API,Security (Helmet, CORS, Rate Limiting),Done,"Essential security measures are implemented on the backend services."
Web App Features,Dashboard,Done,"Includes summary cards, cluster status, critical alerts, and the AI Health Summary widget."
Web App Features,Cluster & Host Management,Done,"Full CRUD operations and detailed views for clusters and hosts are implemented."
Web App Features,Service Management,Done,"Users can view service status and trigger start/stop/restart operations."
Web App Features,Alerts & Definitions,Done,"Users can view, manage, and define alerts. Detail pages include AI troubleshooting."
Web App Features,Configuration Management,Done,"A UI exists for viewing and editing service configurations."
Web App Features,Task/Operations Tracking,Done,"A page to view the status and progress of background tasks is implemented."
Web App Features,Log Search,Done,"A dedicated page for searching and filtering logs is available."
Web App Features,User Settings,Done,"Users can manage their profile and application preferences."
Admin App Features,Content Management (All),Done,"All CRUD interfaces for documentation, legal, pricing, testimonials, and FAQs are complete."
Admin App Features,User Management,Done,"Admins can create, edit, and delete users and manage their roles."
UI/UX,Reusable DataTable Component,Done,"A powerful, customizable data table is used across all applications."
UI/UX,Collapsible Sidebar,Done,"The main navigation sidebar is fully functional, with tooltips for the collapsed state."
UI/UX,Quick Access Menu,Done,"The floating action button provides quick navigation and actions."
UI/UX,Global Search,Done,"A global search is implemented in the header for finding resources quickly."
UI/UX,User Onboarding Tour,Done,"A `react-joyride` tour guides new users through the main dashboard."
UI/UX,Dark Mode,Done,"A consistent light/dark theme is available across all applications."
UI/UX,Internationalization (i18n),Done,"The framework for i18n is set up with `react-i18next` and language files."
AI Integration,AI Health Summary,Done,"The Genkit flow and UI widget for summarizing cluster health are implemented."
AI Integration,AI Troubleshooting Steps,Done,"The Genkit flow and UI component for suggesting alert resolutions are implemented."
Tooling & DX,Database Seeding,Done,"A `pnpm seed` script is available to populate the database with mock data."
Tooling & DX,Utility Scripts,Done,"`run.sh`, `kill-ports.sh`, and `clean-workspace.sh` are fully functional."
Tooling & DX,E2E Testing (Playwright),Done,"A suite of Playwright tests covers the main user flows and authentication."
Tooling & DX,CI/CD (GitHub Actions),Done,"The CI pipeline automatically runs linting, building, and testing on every push."
Storybook,Component Documentation,In Progress,"The Storybook setup is now fixed, but more stories need to be written for full component coverage."
Real-time Features,WebSocket Integration,Pending,"The application currently relies on manual refreshes or query refetching. WebSockets would provide real-time updates for tasks and alerts."
Backend,Stack/Version Management,Pending,"The backend does not yet have APIs for managing HDP/HDF stack versions and repositories."
Testing,Unit & Integration Tests,Pending,"While E2E tests exist, more granular unit and integration test coverage is needed, especially for backend services."
Deployment,Production-Ready Deployments,Pending,"While a `docker-compose.yml` exists, more robust deployment scripts and configurations (e.g., for Kubernetes or AWS ECS) should be created."
